AREA;PERIMETER;MUN97N_;MUN97N_ID;MUNICIPIO;NOME_MUNI;ESTADO;NOME_EST
-67426790000.000000;2500425.000000;1;0;;;;
121662600.000000;55547.900000;2;1;3145877;Orizânia;31;Minas Gerais
339011000.000000;121765.900000;3;160;3122009;Divino;31;Minas Gerais
357758200.000000;110840.500000;4;153;3125952;Fervedouro;31;Minas Gerais
356495800.000000;120225.300000;5;174;3113305;Carangola;31;Minas Gerais
164320800.000000;68552.200000;6;27;3161403;São Francisco do Glória;31;Minas Gerais
162643800.000000;85507.570000;7;154;3125309;Faria Lemos;31;Minas Gerais
301712600.000000;103881.900000;8;122;3142106;Miradouro;31;Minas Gerais
357529500.000000;109220.400000;9;31;3124005;Ervália;31;Minas Gerais
302447500.000000;135518.200000;10;95;3304102;Porciúncula;33;Rio de Janeiro
70550300.000000;42809.270000;11;105;3149002;Pedra Dourada;31;Minas Gerais
283758800.000000;93866.020000;12;49;3169208;Tombos;31;Minas Gerais
190045500.000000;82729.840000;13;43;3306156;Varre-Sai;33;Rio de Janeiro
112200000.000000;65087.110000;14;41;3171402;Vieiras;31;Minas Gerais
188846900.000000;87048.180000;15;66;3161502;São Geraldo;31;Minas Gerais
310950200.000000;118458.400000;16;156;3124906;Eugenópolis;31;Minas Gerais
844214100.000000;216324.300000;17;118;3143906;Muriaé;31;Minas Gerais
294510800.000000;94563.110000;18;146;3129004;Guiricema;31;Minas Gerais
240629100.000000;90014.150000;19;28;3172004;Visconde do Rio Branco;31;Minas Gerais
118368400.000000;59572.230000;20;161;3121902;Divinésia;31;Minas Gerais
112296900.000000;69902.590000;21;2;3156452;Rosário da Limeira;31;Minas Gerais
386644800.000000;117771.200000;22;117;3303104;Natividade;33;Rio de Janeiro
407919900.000000;155107.600000;23;45;3169901;Ubá;31;Minas Gerais
73737930.000000;50625.290000;24;4;3164431;São Sebastião da Vargem Alegre;31;Minas Gerais
85198080.000000;49535.320000;25;24;3103108;Antônio Prado de Minas;31;Minas Gerais
1107788000.000000;278629.100000;26;141;3302205;Itaperuna;33;Rio de Janeiro
320843600.000000;103990.000000;27;121;3142205;Miraí;31;Minas Gerais
352735600.000000;101765.600000;28;125;3141603;Mercês;31;Minas Gerais
142435000.000000;71066.270000;29;162;3121506;Desterro do Melo;31;Minas Gerais
157318300.000000;65971.630000;30;32;3167301;Silveirânia;31;Minas Gerais
159111900.000000;72858.130000;31;147;3128808;Guidoval;31;Minas Gerais
173834400.000000;72777.950000;32;50;3169000;Tocantins;31;Minas Gerais
787564400.000000;222553.000000;33;187;3105608;Barbacena;31;Minas Gerais
251852100.000000;109641.500000;34;85;3155801;Rio Pomba;31;Minas Gerais
108675000.000000;62130.360000;35;107;3148202;Patrocínio do Muriaé;31;Minas Gerais
71905340.000000;46725.780000;36;82;3156304;Rodeiro;31;Minas Gerais
159984000.000000;64905.210000;37;79;3157302;Santa Bárbara do Tugúrio;31;Minas Gerais
250765400.000000;112217.700000;38;135;3302304;Laje do Muriaé;33;Rio de Janeiro
199281400.000000;74006.880000;39;188;3105509;Barão de Monte Alto;31;Minas Gerais
144047600.000000;68675.560000;40;96;3151305;Piraúba;31;Minas Gerais
482495200.000000;163566.500000;41;171;3115300;Cataguases;31;Minas Gerais
162850500.000000;72810.380000;42;30;3158409;Santana de Cataguases;31;Minas Gerais
4038136000.000000;478104.400000;43;176;3301009;Campos dos Goytacazes;33;Rio de Janeiro
159249200.000000;75027.520000;44;16;3104601;Astolfo Dutra;31;Minas Gerais
58376790.000000;39526.180000;45;112;3146602;Paiva;31;Minas Gerais
1118390000.000000;203621.500000;46;10;3304755;São Francisco de Itabapoana;33;Rio de Janeiro
524842800.000000;138985.500000;47;200;3102902;Antônio Carlos;31;Minas Gerais
204326300.000000;76245.880000;48;134;3138005;Laranjal;31;Minas Gerais
54592680.000000;42160.580000;49;159;3122900;Dona Euzébia;31;Minas Gerais
211346200.000000;85663.550000;50;53;3167905;Tabuleiro;31;Minas Gerais
110718600.000000;67986.480000;51;113;3145703;Oliveira Fortes;31;Minas Gerais
105684500.000000;57918.980000;52;196;3103306;Aracitaba;31;Minas Gerais
264987200.000000;93348.190000;53;152;3128402;Guarani;31;Minas Gerais
250691300.000000;86386.930000;54;37;3305133;São José de Ubá;33;Rio de Janeiro
318390200.000000;113435.600000;55;111;3146701;Palma;31;Minas Gerais
301750400.000000;84529.390000;56;123;3303005;Miracema;33;Rio de Janeiro
296551600.000000;103203.700000;57;144;3302056;Italva;33;Rio de Janeiro
563037400.000000;123928.200000;58;177;3300902;Cambuci;33;Rio de Janeiro
118246000.000000;69427.350000;59;29;3132602;Itamarati de Minas;31;Minas Gerais
637444000.000000;175838.800000;60;69;3160702;Santos Dumont;31;Minas Gerais
213308400.000000;81783.160000;61;163;3121308;Descoberto;31;Minas Gerais
207776900.000000;106680.300000;62;86;3155405;Rio Novo;31;Minas Gerais
943230500.000000;233119.700000;63;132;3138401;Leopoldina;31;Minas Gerais
614561900.000000;154034.100000;64;71;3304706;Santo Antônio de Pádua;33;Rio de Janeiro
516084400.000000;105798.800000;65;173;3301157;Cardoso Moreira;33;Rio de Janeiro
191304300.000000;82631.170000;66;101;3150109;Piau;31;Minas Gerais
234311000.000000;83335.060000;67;91;3154101;Recreio;31;Minas Gerais
407970900.000000;137215.000000;68;64;3162906;São João Nepomuceno;31;Minas Gerais
1030185000.000000;165708.600000;69;68;3304805;São Fidélis;33;Rio de Janeiro
323905700.000000;104945.700000;70;74;3159407;Santa Rita de Ibitipoca;31;Minas Gerais
153120800.000000;71498.270000;71;5;3127388;Goianá;31;Minas Gerais
103716200.000000;65136.750000;72;155;3125002;Ewbank da Câmara;31;Minas Gerais
284184600.000000;98176.890000;73;184;3106804;Bias Fortes;31;Minas Gerais
1438714000.000000;295625.600000;74;137;3136702;Juiz de Fora;31;Minas Gerais
122095100.000000;61723.250000;75;166;3119609;Coronel Pacheco;31;Minas Gerais
159444700.000000;67215.880000;76;192;3104403;Argirita;31;Minas Gerais
192358000.000000;83421.360000;77;97;3151107;Pirapetinga;31;Minas Gerais
79595410.000000;44470.700000;78;83;3156205;Rochedo de Minas;31;Minas Gerais
158867400.000000;81973.790000;79;170;3115904;Chácara;31;Minas Gerais
429077900.000000;121576.600000;80;142;3302106;Itaocara;33;Rio de Janeiro
89320540.000000;45354.610000;81;197;3300159;Aperibé;33;Rio de Janeiro
847712900.000000;206224.600000;82;131;3138609;Lima Duarte;31;Minas Gerais
132036700.000000;73605.670000;83;157;3124609;Estrela Dalva;31;Minas Gerais
462205600.000000;98900.380000;84;65;3305000;São João da Barra;33;Rio de Janeiro
77699660.000000;49381.540000;85;128;3140209;Maripá de Minas;31;Minas Gerais
113124200.000000;59906.860000;86;104;3149408;Pedro Teixeira;31;Minas Gerais
201947800.000000;90031.010000;87;22;3160009;Santo Antônio do Aventureiro;31;Minas Gerais
139669300.000000;68793.980000;88;183;3106903;Bicas;31;Minas Gerais
511458400.000000;148442.000000;89;201;3101508;Além Paraíba;31;Minas Gerais
209091400.000000;74777.390000;90;39;3172103;Volta Grande;31;Minas Gerais
98422400.000000;58728.890000;91;21;3165602;Senador Cortes;31;Minas Gerais
88634340.000000;52686.120000;92;151;3128501;Guarará;31;Minas Gerais
717646200.000000;144587.300000;93;175;3301108;Cantagalo;33;Rio de Janeiro
372339100.000000;125235.300000;94;129;3139805;Mar de Espanha;31;Minas Gerais
372662200.000000;141647.500000;95;23;3305307;São Sebastião do Alto;33;Rio de Janeiro
90774000.000000;61887.390000;96;103;3149507;Pequeri;31;Minas Gerais
