FNODE_;TNODE_;LPOLY_;RPOLY_;LENGTH;NRIOFED_;NRIOFED_ID;NOME
0;0;0;0;1279,520000;1;1;Córrego Invernada
0;0;0;0;2301,567000;2;2;Córrego Nacional
0;0;0;0;3991,526000;3;3;Córrego Reserva
0;0;0;0;571,232200;4;4;Córrego da Divisa
0;0;0;0;1581,130000;5;5;Córrego Cunha
0;0;0;0;1714,710000;6;6;Córrego Q-Canto
0;0;0;0;4237,573000;7;7;Córrego Soledade
0;0;0;0;3581,728000;8;8;Córrego Pinheirinho
0;0;0;0;1668,344000;9;9;Córrego sem nome
0;0;0;0;1591,135000;10;10;Córrego Independência
0;0;0;0;1524,823000;11;11;Córrego sem nome
0;0;0;0;883,399400;12;12;Córrego Tapir
0;0;0;0;8890,435000;13;13;Córrego Cachoeira
0;0;0;0;2059,083000;14;14;Córrego sem nome
0;0;0;0;2191,675000;15;15;Córrego Estrada
0;0;0;0;2084,893000;16;16;Córrego do Moinho
0;0;0;0;1830,664000;17;17;Córrego Vermelho
0;0;0;0;1266,617000;18;18;Córrego Santo Antônio
0;0;0;0;2054,479000;19;19;Córrego Beta
0;0;0;0;767,082900;20;20;Córrego sem nome
