AREA,PERIMETER,NCIDAD_,NCIDAD_ID,NOME
-867922000.000000,3634270.000000,1,0,vazio urbano
172880.800000,1554.635000,2,1,Orizânia
158729.200000,2307.157000,3,2,Bom Jesus de Carangola
845213.500000,6320.947000,4,3,Divino
60858.130000,1150.535000,5,4,Samambaia
117079.100000,1912.072000,6,5,Lacerdinha
133095.800000,1415.162000,7,6,Ponte Alta de Minas
169345.700000,1611.973000,8,7,São Pedro do Glória
2456057.000000,15008.350000,9,8,Carangola
131839.800000,1350.341000,10,9,Bom Jesus do Madeira
661837.100000,4837.216000,11,10,Fervedouro
151695.100000,1964.612000,12,11,Alvorada
248839.300000,2658.559000,13,12,Bicuíba
508356.300000,4534.581000,14,13,São Francisco do Glória
245502.400000,2340.443000,15,14,Faria Lemos
481549.200000,7205.439000,16,225,Ervália
217028.100000,1766.940000,17,15,Pedra Dourada
221403.000000,2609.003000,18,16,Vieiras
186288.100000,1733.890000,19,17,Água Santa
1201231.000000,9842.398000,20,18,Miradouro
718606.100000,4758.694000,21,19,Tombos
632027.300000,4090.789000,22,20,São Geraldo
222626.900000,2226.884000,23,21,Dom Silvério
206041.700000,1853.309000,24,22,Catuné
145939.800000,1560.958000,25,23,Alto Gavião
218945.300000,2403.016000,26,24,Belisário
141449.900000,1993.828000,27,226,Varre-Sai
92086.330000,1435.569000,28,25,Purilândia
233470.100000,2303.235000,29,26,Vilas Boas
1315909.000000,6643.515000,30,27,Porciúncula
146606.700000,1627.580000,31,28,Santo Antônio do Glória
246088.800000,2776.610000,32,29,Rosário da Limeira
85003.250000,1210.128000,33,30,Pinhotiba
42783.580000,851.027200,34,227,Divinésia
30140.590000,1079.614000,35,31,Bom Jesus do Querendo
243134.200000,2557.021000,36,32,Itamurí
3096849.000000,16930.540000,37,33,Visconde do Rio Branco
196273.100000,2147.282000,38,34,Guiricema
237574.100000,2208.602000,39,35,Antônio Prado de Minas
517338.800000,3363.584000,40,36,Natividade
387994.100000,3544.356000,41,37,Ourânia
54677.730000,986.853300,42,38,Miragaia
392714.900000,3522.198000,43,39,Natividade
277583.100000,3079.521000,44,40,São Sebastião da Vargem Grande
72474.420000,1191.325000,45,41,Pirapanema
149320.600000,1549.395000,46,42,Tuiutinga
9232055.000000,51823.310000,47,43,Ubá
792888.800000,5604.599000,48,44,Eugenópolis
249487.900000,2457.414000,49,45,Bela Vista
116869.400000,1832.336000,50,46,Dores da Vitória
712698.000000,4795.260000,51,47,Raposo
135725.100000,1671.479000,52,48,Vermelho
10390940.000000,39290.680000,53,49,Muriaé
139913.600000,1652.458000,54,228,Desterro do Melo
781206.800000,5595.825000,55,50,Guidoval
301564.000000,2838.265000,56,51,Silveirânia
773250.600000,4293.256000,57,52,Patrocínio do Muriaé
1837276.000000,7197.664000,58,53,Tocantins
871387.500000,6437.958000,59,54,Mercês
565620.600000,5466.900000,60,55,Comendador Venâncio
